cod_dpto,nombre_dpto,year,cabecera,resto,total
05,Antioquia,2018,9.6,35.4,15.3
05,Antioquia,2019,10.2,35.9,15.7
05,Antioquia,2020,10.2,32.7,14.9
05,Antioquia,2021,10.8,28.0,14.3
05,Antioquia,2022,7.0,25.8,10.7
05,Antioquia,2023,5.9,24.2,9.5
05,Antioquia,2024,8.4,21.2,10.9
05,Antioquia,2025,6.2,23.2,9.5
08,Atlántico,2018,20.0,39.5,21.1
08,Atlántico,2019,13.7,38.0,14.9
08,Atlántico,2020,13.1,33.9,14.1
08,Atlántico,2021,14.8,29.6,15.5
08,Atlántico,2022,9.4,25.0,10.2
08,Atlántico,2023,11.3,25.7,12.0
08,Atlántico,2024,8.6,26.4,9.5
08,Atlántico,2025,7.3,25.9,8.2
11,Bogotá D.C.,2018,4.1,19.2,4.1
11,Bogotá D.C.,2019,7.1,16.5,7.1
11,Bogotá D.C.,2020,7.5,15.4,7.5
11,Bogotá D.C.,2021,5.7,19.4,5.7
11,Bogotá D.C.,2022,3.8,10.1,3.8
11,Bogotá D.C.,2023,3.6,11.7,3.6
11,Bogotá D.C.,2024,5.4,10.8,5.4
11,Bogotá D.C.,2025,2.2,5.0,2.2
13,Bolívar,2018,25.6,50.5,31.9
13,Bolívar,2019,21.4,42.9,26.9
13,Bolívar,2020,21.5,47.1,28.1
13,Bolívar,2021,21.5,41.8,26.8
13,Bolívar,2022,13.9,34.6,19.4
13,Bolívar,2023,14.9,28.0,18.4
13,Bolívar,2024,13.5,21.5,15.6
13,Bolívar,2025,13.8,25.7,17.0
15,Boyacá,2018,7.9,28.5,16.5
15,Boyacá,2019,5.0,23.9,12.8
15,Boyacá,2020,4.3,22.4,11.7
15,Boyacá,2021,5.4,19.1,10.9
15,Boyacá,2022,6.1,15.1,9.6
15,Boyacá,2023,5.4,17.0,9.9
15,Boyacá,2024,3.7,12.1,6.9
15,Boyacá,2025,4.0,10.3,6.4
17,Caldas,2018,10.1,24.6,13.8
17,Caldas,2019,10.4,25.8,14.3
17,Caldas,2020,8.7,32.8,14.5
17,Caldas,2021,8.7,20.4,11.5
17,Caldas,2022,7.8,19.5,10.5
17,Caldas,2023,4.8,16.3,7.4
17,Caldas,2024,6.0,20.3,9.2
17,Caldas,2025,4.7,18.9,7.9
18,Caquetá,2018,20.5,38.6,26.9
18,Caquetá,2019,19.2,37.7,25.7
18,Caquetá,2020,18.4,40.5,26.1
18,Caquetá,2021,15.9,36.6,23.1
18,Caquetá,2022,16.4,25.6,19.6
18,Caquetá,2023,11.3,28.6,17.2
18,Caquetá,2024,8.6,24.2,13.9
18,Caquetá,2025,10.0,24.8,15.0
19,Cauca,2018,13.2,36.2,27.7
19,Cauca,2019,10.6,31.8,24.0
19,Cauca,2020,12.3,37.4,28.2
19,Cauca,2021,10.5,23.2,18.6
19,Cauca,2022,8.8,23.6,18.3
19,Cauca,2023,6.8,20.9,15.8
19,Cauca,2024,7.5,17.6,14.0
19,Cauca,2025,7.1,16.1,13.0
20,Cesar,2018,26.5,47.6,31.7
20,Cesar,2019,20.5,40.7,25.5
20,Cesar,2020,20.7,46.8,27.2
20,Cesar,2021,20.8,39.1,25.3
20,Cesar,2022,14.2,34.1,19.1
20,Cesar,2023,13.2,30.9,17.7
20,Cesar,2024,10.7,21.3,13.4
20,Cesar,2025,9.8,29.6,14.8
23,Córdoba,2018,21.1,49.2,34.4
23,Córdoba,2019,23.2,47.2,34.7
23,Córdoba,2020,21.8,42.6,31.8
23,Córdoba,2021,14.1,40.6,26.9
23,Córdoba,2022,16.5,38.0,26.9
23,Córdoba,2023,12.6,30.6,21.4
23,Córdoba,2024,13.0,38.9,25.7
23,Córdoba,2025,10.1,29.7,19.8
25,Cundinamarca,2018,6.8,20.0,10.5
25,Cundinamarca,2019,9.4,20.5,12.3
25,Cundinamarca,2020,9.4,17.1,11.4
25,Cundinamarca,2021,8.1,13.3,9.4
25,Cundinamarca,2022,6.3,10.4,7.3
25,Cundinamarca,2023,7.8,7.1,7.6
25,Cundinamarca,2024,6.8,9.4,7.4
25,Cundinamarca,2025,3.2,7.3,4.1
27,Chocó,2018,29.4,60.3,46.3
27,Chocó,2019,26.7,55.1,42.3
27,Chocó,2020,33.5,61.5,49.0
27,Chocó,2021,25.3,44.4,36.0
27,Chocó,2022,25.2,45.8,36.8
27,Chocó,2023,25.5,46.4,37.4
27,Chocó,2024,18.8,45.2,33.9
27,Chocó,2025,16.3,41.5,30.8
41,Huila,2018,12.1,27.0,18.0
41,Huila,2019,12.5,27.1,18.3
41,Huila,2020,13.1,39.0,23.4
41,Huila,2021,11.8,26.1,17.5
41,Huila,2022,9.0,19.7,13.3
41,Huila,2023,7.2,19.1,11.9
41,Huila,2024,7.6,15.8,10.9
41,Huila,2025,6.3,14.7,9.7
44,La Guajira,2018,31.3,72.9,53.3
44,La Guajira,2019,28.1,68.2,48.8
44,La Guajira,2020,30.1,72.7,51.7
44,La Guajira,2021,26.3,70.7,48.7
44,La Guajira,2022,20.7,65.0,42.9
44,La Guajira,2023,23.6,61.7,42.6
44,La Guajira,2024,17.4,61.3,39.3
44,La Guajira,2025,19.5,61.0,40.1
47,Magdalena,2018,31.1,48.5,36.4
47,Magdalena,2019,24.6,47.8,31.6
47,Magdalena,2020,27.3,47.0,33.4
47,Magdalena,2021,27.2,43.7,32.4
47,Magdalena,2022,17.5,34.9,23.0
47,Magdalena,2023,15.9,33.0,21.4
47,Magdalena,2024,15.0,28.1,19.2
47,Magdalena,2025,13.6,25.8,17.6
50,Meta,2018,10.7,31.4,15.6
50,Meta,2019,17.8,23.1,19.1
50,Meta,2020,9.7,28.2,14.1
50,Meta,2021,11.3,26.4,14.9
50,Meta,2022,8.5,20.3,11.3
50,Meta,2023,10.6,20.2,12.9
50,Meta,2024,8.0,18.2,10.4
50,Meta,2025,7.8,26.4,12.3
52,Nariño,2018,22.0,41.7,33.1
52,Nariño,2019,18.4,26.9,23.2
52,Nariño,2020,15.0,36.8,27.3
52,Nariño,2021,13.4,28.9,22.1
52,Nariño,2022,12.7,21.4,17.6
52,Nariño,2023,11.6,20.5,16.6
52,Nariño,2024,10.0,24.5,18.1
52,Nariño,2025,8.2,17.2,13.2
54,Norte de Santander,2018,25.9,43.0,29.5
54,Norte de Santander,2019,19.3,42.8,24.2
54,Norte de Santander,2020,20.8,46.2,26.1
54,Norte de Santander,2021,19.7,44.0,24.7
54,Norte de Santander,2022,13.0,39.8,18.5
54,Norte de Santander,2023,16.4,36.2,20.5
54,Norte de Santander,2024,8.5,41.1,15.2
54,Norte de Santander,2025,9.1,29.5,13.3
63,Quindío,2018,13.5,19.0,14.2
63,Quindío,2019,9.1,18.0,10.2
63,Quindío,2020,11.8,21.0,12.9
63,Quindío,2021,10.0,17.1,10.9
63,Quindío,2022,9.3,15.3,10.0
63,Quindío,2023,6.7,13.5,7.5
63,Quindío,2024,6.8,11.3,7.4
63,Quindío,2025,6.0,11.2,6.7
66,Risaralda,2018,7.0,28.0,11.6
66,Risaralda,2019,6.5,28.2,11.1
66,Risaralda,2020,8.9,29.5,13.1
66,Risaralda,2021,8.0,21.5,10.7
66,Risaralda,2022,6.6,23.9,10.0
66,Risaralda,2023,8.8,24.0,11.8
66,Risaralda,2024,6.3,23.0,9.5
66,Risaralda,2025,1.8,17.6,4.9
68,Santander,2018,8.2,26.8,12.6
68,Santander,2019,8.8,24.1,12.4
68,Santander,2020,8.2,26.6,12.5
68,Santander,2021,9.1,27.3,13.3
68,Santander,2022,7.4,20.6,10.4
68,Santander,2023,6.6,20.7,9.8
68,Santander,2024,4.9,13.6,6.8
68,Santander,2025,5.0,13.9,6.9
70,Sucre,2018,32.8,56.8,41.7
70,Sucre,2019,25.4,46.6,33.3
70,Sucre,2020,29.5,52.2,38.1
70,Sucre,2021,23.7,41.0,30.3
70,Sucre,2022,19.8,36.0,26.0
70,Sucre,2023,15.9,34.6,23.1
70,Sucre,2024,12.4,36.4,21.8
70,Sucre,2025,16.7,38.8,25.4
73,Tolima,2018,11.8,44.7,22.2
73,Tolima,2019,8.4,30.0,15.2
73,Tolima,2020,12.1,34.0,19.0
73,Tolima,2021,11.0,29.0,16.6
73,Tolima,2022,5.4,22.0,10.5
73,Tolima,2023,8.0,23.9,12.9
73,Tolima,2024,7.2,24.7,12.6
73,Tolima,2025,9.0,19.6,12.2
76,Valle del Cauca,2018,12.5,23.2,14.1
76,Valle del Cauca,2019,9.3,19.4,10.8
76,Valle del Cauca,2020,8.9,24.1,11.1
76,Valle del Cauca,2021,6.9,18.6,8.6
76,Valle del Cauca,2022,8.0,19.4,9.7
76,Valle del Cauca,2023,5.8,15.8,7.2
76,Valle del Cauca,2024,4.6,15.9,6.2
76,Valle del Cauca,2025,4.2,9.5,4.9
81,Arauca,2018,24.6,33.3,27.6
81,Arauca,2019,20.5,28.6,23.3
81,Arauca,2020,23.4,31.1,26.1
81,Arauca,2021,25.8,28.7,26.8
81,Arauca,2022,22.4,22.9,22.6
81,Arauca,2023,20.7,26.6,22.8
81,Arauca,2024,17.4,18.3,17.7
81,Arauca,2025,11.9,14.1,12.7
85,Casanare,2018,14.5,29.6,19.0
85,Casanare,2019,15.1,26.2,18.3
85,Casanare,2020,14.3,32.8,19.6
85,Casanare,2021,16.4,27.3,19.5
85,Casanare,2022,10.7,20.0,13.3
85,Casanare,2023,12.5,21.4,15.0
85,Casanare,2024,9.1,17.1,11.3
85,Casanare,2025,7.1,13.7,8.9
86,Putumayo,2018,17.5,30.8,24.1
86,Putumayo,2019,22.1,28.7,25.4
86,Putumayo,2020,22.6,33.2,27.8
86,Putumayo,2021,16.5,29.4,22.8
86,Putumayo,2022,14.7,27.2,20.8
86,Putumayo,2023,10.5,16.1,13.2
86,Putumayo,2024,8.8,15.1,11.8
86,Putumayo,2025,9.5,18.1,13.6
88,San Andrés,2018,8.5,,8.5
88,San Andrés,2019,8.2,,8.2
88,San Andrés,2020,11.9,,11.9
88,San Andrés,2021,7.0,,7.0
88,San Andrés,2022,8.8,,8.8
88,San Andrés,2023,5.0,,5.0
88,San Andrés,2024,6.0,,6.0
88,San Andrés,2025,4.3,,4.3
91,Amazonas,2018,27.4,42.1,35.4
91,Amazonas,2019,19.5,49.6,35.6
91,Amazonas,2020,24.3,53.5,39.0
91,Amazonas,2021,23.0,28.4,25.7
91,Amazonas,2022,23.5,32.3,27.9
91,Amazonas,2023,18.6,32.6,25.4
91,Amazonas,2024,13.8,17.6,15.6
91,Amazonas,2025,11.9,24.8,18.1
94,Guainía,2018,44.0,72.6,60.6
94,Guainía,2019,39.9,87.7,67.0
94,Guainía,2020,43.1,84.5,65.9
94,Guainía,2021,45.7,67.1,57.3
94,Guainía,2022,39.9,52.2,46.5
94,Guainía,2023,46.4,57.0,52.1
94,Guainía,2024,40.1,56.9,49.0
94,Guainía,2025,36.7,65.4,51.8
95,Guaviare,2018,22.8,42.1,31.4
95,Guaviare,2019,26.5,36.7,30.9
95,Guaviare,2020,27.5,43.8,34.6
95,Guaviare,2021,24.2,40.0,31.0
95,Guaviare,2022,21.7,33.7,26.9
95,Guaviare,2023,18.5,46.5,30.6
95,Guaviare,2024,17.5,26.3,21.3
95,Guaviare,2025,15.2,26.5,20.0
97,Vaupés,2018,27.4,82.9,68.5
97,Vaupés,2019,25.4,80.1,66.5
97,Vaupés,2020,26.8,81.3,65.6
97,Vaupés,2021,22.3,64.8,52.7
97,Vaupés,2022,15.0,59.7,47.1
97,Vaupés,2023,16.6,70.9,55.7
97,Vaupés,2024,16.2,45.5,37.4
97,Vaupés,2025,12.7,52.6,41.7
99,Vichada,2018,33.7,73.0,63.5
99,Vichada,2019,35.7,84.0,72.2
99,Vichada,2020,46.6,85.1,75.6
99,Vichada,2021,38.3,73.4,64.8
99,Vichada,2022,36.1,87.9,75.4
99,Vichada,2023,33.6,75.4,65.4
99,Vichada,2024,30.0,82.7,70.2
99,Vichada,2025,28.8,63.3,55.2
